(BK)",411021,,02067901300,,02067901333,principal.sns@suryadatta.edu.in,http://www.suryadattaschool.org,2014,"Jun 16, 2014",SHEILA OKA,,"BA,MA,B.ED, PGDHRM",10,20,Secondary School,Provisional,"Apr 1, 2016","Mar 31, 2019",SURYADATTA EDUCATION FOUNDATION
GOVT GIRLS SR SEC SCHOOL,2760025,DELHI,,DELHI,ANANDVAS SHAKURPUR DELHI,110034,011,27190074,25584649,,asha.magoon.2015@gmail.com,,1981,"Apr 1, 1991",ASHA MAGOON,2,,,,Senior Secondary,Provisional,"Apr 1, 2016","Mar 31, 2017",DIRECTATE OF EDUCATION DELHI
"DHOOM SINGH MEMORIAL PUBLIC SCHOOL,",3530277,UTTARAKHAND,HARIDWAR,DEHRADUN,"SITARPUR-JWALAPUR, HARIDWAR (U.K.)-249407",249407,05882,250260,256369,,rsrana380@gmail.com,,2004,"Jul 1, 2004",RUKAM SINGH RANA,1,"MSC. , B.ED",5,6,Senior Secondary,Provisional,"Apr 1, 2017","Mar 31, 2022","DHOOM SINGH MEMORIAL PUBLIC SCHOOL SAMITI, SITARPUR-JWALAPUR, HARIDWAR (U.K.)"
GOVT SEC SCHOOL,1820127,SIKKIM,EAST DISTRICT,GUWAHATI,SICHEY PO GANGTOK EAST SIKKIM,737101,03592,,232332,,dgsicheyss@gmail.com,khanisirbongwestsikkim.in,1984,"Apr 30, 2014",SONAM SHERPA,1,"M.COM., B.ED",5,22,Secondary School,Provisional,"Apr 1, 2013","Mar 31, 2018",GOVT OF SIKKIM
KENDRIYA VIDYALAYA,1500041,ODISHA,JAJPUR,BHUBANESWAR,"JAJPUR, BIRAJA HIGH SCHOOL CAMPUS, PO DEVIDWAR, JAJPUR TOWN, ODISHA",755007,06728,222260,08337999700,,kamaljeet_7871@yahoo.com,,1986,"Apr 1, 1991",KAMAL JEET,0,,,,Secondary School,Provisional,"Apr 1, 2016","Mar 31, 2018",KENDRIYA VIDYALAYA SANGATHAN
SPS INTERNATIONAL ACADEMY,2131126,UTTAR PRADESH,MATHURA,ALLAHABAD,"100 KM STONE NH-2,NEAR PASUPATI FABRIC LTD.KOSI KALAN ,MATHURA.",281403,08394,9412625648,656593,,pks.mtr@gmail.com,,2008,"Apr 1, 2008",PANKAJ K SHARMA,2,"B.SC. B ED. , M. COM.",10,6,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",SHANTI SHIKSHA SAMITI
HOLY CHILD SCHOOL,2130404,UTTAR PRADESH,RAMPUR,DEHRADUN,BHARATPUR R O KAUSHAL  GANJ BILASPUR  RAMPUR UTTAR PRADESH,244923,05944,244301;44301,44601,,ravindraahuja20@gmail.com,,1989,"Apr 1, 2008",RAVINDRA AHUJA,2,"M.A. ENG., B.ED., PGDCA",8,10,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",HOLY CHILDREN  EDN. & WELFARE SOCIE
INTERNATIONAL INDIAN SCHOOL KALLIKKANDY,930976,KERALA,KANNUR,TRIVANDRUM,"KALLIKKANDY P.O
KANNUR DIST",670693,,2465795,,04902465795,ancerajaniis@gmail.com,,2005,"Jun 15, 2005",ANCEMOL K J,0,"MA ,MPHIL,BED",7,8,Secondary School,Provisional,"Apr 1, 2016","Mar 31, 2021",INSTITUTION FOR MUSLIM EDUCATION
SAGRITARA SCHOOL,2530020,ANDAMAN & NICOBAR,PORT BLAIR,CHENNAI,"PREM NAGAR, P.O. HADDO",744102,,232515,,,kujurpreety@gmail.com,http://www.sagritaraschoolportblair.org,1968,"Jun 1, 1968",PREETY KUJUR,,PH.D (POLITICAL SCIENCE),8,43,Secondary School,Provisional,"Apr 1, 2017","Mar 31, 2020",ASSOCIATION OF CATHOLIC ANDAMAN AND NICOBAR ISLANDS
KOTA PUBLIC SCHOOL JANDLI KHURD,531366,HARYANA,FATEHABAD,PANCHKULA,FATEHABAD ROAD JANDLI KHURD,125111,,290124,,,kpsjandlikhurd2015@gmail.com,,2014,"Apr 1, 2015",BHAWNA VASHISHTH,,M.SC. B.ED.,3,13,Secondary School,Provisional,"Apr 1, 2016","Mar 31, 2019",SMT. MAINA DEVI SOCIAL WORKING EDUCATION SOCIETY
MATHEWS MAR ATHANASIUS RESIDENTIAL CENTRAL SCHOOL,931142,KERALA,ALAPPUZHA,TRIVANDRUM,"ANGADICAL P.O.,CHENGANNUR ALAPPUZHA",689122,,2165756,,,laluvarghese19@gmail.com,,2006,"Jun 1, 2006",LALU VARGHESE,0,"M.SC., B.ED",3,10,Senior Secondary,Provisional,"Apr 1, 2016","Mar 31, 2019",THE TRINITY MAR THOMA EDUCATIONAL SOCIETY
GOVT. GIRLS SR. SEC. SCHOOL,2766092,DELHI,,DELHI,"HASTESAL VILLAGE, NEW DELHI-110059",110059,011,25358247,8800270072,,ggssshastsal278@gmail.com,,1986,"Apr 1, 1991",MINAKSHI SHRIVASTAVA,0,,,,Senior Secondary,Provisional,"Apr 1, 2014","Mar 31, 2019",DIR. OF EDU.
ARMY PUBLIC SCHOOL,1180010,MAHARASHTRA,PUNE,CHENNAI,"KIRKEE, DISTT PUNE MAHARASTRA",411003,020,6693563;9422514246,5467983;9762274947,,pkhanna3@hotmail.com,,1990,"Jul 3, 2000",MS ARTI SHARMA,2,,,,Senior Secondary,Provisional,"Apr 1, 2016","Mar 31, 2021",ARMY WELFARE EDUCATION SOCIETY DELH
SWAMI HARSEWANAND PUBLIC SCHOOL,2130681,UTTAR PRADESH,VARANASI,ALLAHABAD,RAMNA GARHAWA GHAT VARANASI UTTAR PRADESH,221005,,2366975,07376336200,012023219,chaubey.shps@gmail.com,,2001,"Apr 2, 2001",AJAY KUMAR CHAUBEY,1,"M A, M.ED",10,21,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",SWAMI HARSEWANAND SIKSHAN SOCIETY
DAV PUBLIC SCHOOL,630086,HIMACHAL PRADESH,BILASPUR,PANCHKULA,GHUMARWIN DISTT BILASPUR HIMACHAL PRADESH,174021,01978,255201,255497,2458339,dav_ghumarwin@yahoo.com,http://www.pcsjammu.g,2003,"Jun 2, 2003",VINOD SHARMA,2,M A B.ED,13,24,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",DAV COLLEGE TRUST & MGMT SOC
R. D. S. PUBLIC SCHOOL,530823,HARYANA,AMBALA,PANCHKULA,"IN FRONT OF TEHSIL, REWARI ROAD (DHARUHERA)",123106,,242101,,01274242520,raiperia123@gmail.com,,2000,"Apr 2, 2001",RAJ KUMAR,0,M.ED,6,4,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",SINGHAL SIKSHA PARISHAD
SRI SARADA SECONDARY SCHOOL,1930033,TAMILNADU,CHENNAI CITY,CHENNAI,NO.1  SECOND STREET GOPALAPURAM CHENNAI TAMIL NADU,600086,044,28113421,24917904,,malathyravi154@gmail.com,http://www.saradaschool.in,1976,"Jun 2, 2003",MALATHYRAVI,2,"B.A., B.ED., M.L.I.S.,",10,29,Secondary School,Provisional,"Apr 1, 2013","Mar 31, 2018",SRI SARADA EDUCATION SOCEITY
ITHAKA ENGISH MEDIUM SCHOOL,130406,ANDHRA PRADESH,NELLORE,CHENNAI,"KANUPARTHIPADU(POST),
NELLORE RURAL(MANDAL),
NELLORE,
S.P.S.R. NELLORE DISTRICT",524004,,6521111,,08612321866,ithaka.principal@gmail.com,http://www.ithaka.in,2013,"Jun 12, 2013",REENA DUTTA,2,"M.SC., B.ED.",4,13,Secondary School,Provisional,"Apr 1, 2015","Mar 31, 2018",RAVINDRA BHARATHI EDUCATIONAL SOCIETY
THE HORIZON SCHOOL,3530344,UTTARAKHAND,DEHRADUN,DEHRADUN,"NEAR SAIN CHOWKI, LOWER JOLLY GRANT",248140,,7455055371,,,namrata.sharma@hotmail.com,,2008,"Jul 1, 2008",NAMRATA SHARMA,0,"MSC, BED",7,4,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2018",THE HORIZON SOCIETY
NAVY CHILDREN SCHOOL,2880001,GOA,GOA (SOUTH),CHENNAI,AIRPORT ROAD NOFRA-I DABOLIM GOA,403801,0832,2541048;;513950,9823064003,2541048,nps_goa@yahoo.co.in,,2004,"Jan 4, 2004",JOHN DINAKARAN,1,B.COM,2,6,Senior Secondary,Provisional,"Apr 1, 2011","Mar 31, 2016",NAVY EDUCATION SOCIETY
ST. J.B. GLOBAL ACADEMY,2132175,UTTAR PRADESH,FEROZABAD,ALLAHABAD,"MAINPURI RAOD, MANDAI, SHIKOHABAD",283135,,7536088855,,05676235504,opyadav.1973@gmail.com,http://www.stjbga.com,1998,"Jul 1, 1998",OM PRAKASH YADAV,,M.A. B.ED,5,6,Secondary School,Provisional,"Apr 1, 2016","Mar 31, 2019",JANU BABA SHIKSHA SAMITI
DAV MUKHYAMANTRI PUBLIC SCHOOL,3320221,CHATTISGARH,,BHUBANESWAR,"GUDRAPARA, GARKHA, BLOCK -KESHKAN, DISTT. KONDAGAON, CHHATTISGARH",495559,,285109,9406026725,,davmmps.kgn@gmail.com,,1970,"Apr 1, 1991",C M PANDEY,0,,,,Senior Secondary,Provisional,"Apr 1, 2016","Mar 31, 2018",DITRECAT OF EDUCATION DELHI ADM N
YATHARTH FUTURISTIC ACADEMY,1030738,MADHYA PRADESH,UJJAIN,AJMER,"VILLAGE NINORA, INDORE ROAD",456001,,2900007,,,yathrthfuturistic@gmail.com,http://www.yatharthfuturisticacademy.com,2012,"Jul 2, 2012",JYOTI DUBEY,0,"M.A. (SANS.), PH.D., B.ED.",7,10,Secondary School,Provisional,"Apr 1, 2014","Mar 31, 2017",SHRI BALDEV PRASAD SHARMA SAMAJIK SANSTHA
BIRLA DIVYA JYOTI,2430138,WEST BENGAL,DARJEELING,BHUBANESWAR,"ZONE F, UTTORAYON TOWNSHIP, MATIGARA, SILIGURI",734010,,2571061,,03532571061,gayatrirai1451@gmail.com,http://www.birladivyajyoti.com,2008,"Apr 16, 2008",GAYATRI RAI,1,"M.A., B.ED",10,14,Secondary School,Provisional,"Apr 1, 2013","Mar 31, 2016",BIRLA VIDYA VIHAR TRUST
SUNRISE GLOBAL SCHOOL,2131858,UTTAR PRADESH,BULANDSHAHAR,DEHRADUN,"VILL. MANPUR, SAIDPUR ROAD",245408,,9634939201,,05732253533,sunriseglobalschool@gmail.com,http://www.sunriseglobalschool.com,2004,"Jun 8, 2004",UPENDRA SINGH,0,"M.A., B.ED.",2,8,Senior Secondary,Provisional,"Apr 1, 2018","Mar 31, 2023",SUNRISE EDUCATIONAL SOCIETY
INDIAN COMMUNITY SCHOOL,6030001,FOREIGN SCHOOLS,LIBYA,DELHI,PO BOX 14266 TRIPOLI (S P L A J) LIBYA C/O FIRST SECY EMBASSY OF INDIA TRIPOLI LIBYA,791123,,2072656,,26081946,,,1976,"Jul 9, 2003",NEERJA SINGH,2,,,,Senior Secondary,Provisional,"Apr 1, 2007","Mar 31, 2012",BOARD OF MGT. EMB. OF INDIA TRIPOLI
DELHI PUBLIC SCHOOL,2130550,UTTAR PRADESH,MEERUT,DEHRADUN,BAGHPAT ROAD MEERUT UTTAR PRADESH,250002,0121,2439488;2641017,2439063,012124394,savitachadha1970@gmail.com,http://www.dpsmeerut.com,2002,"Apr 1, 2002",SAVITA CHADHA,2,"M.A., B.ED.",14,14,Senior Secondary,Provisional,"Apr 1, 2013","Mar 31, 2018",M P SINGH FOUNDATION
GLOBAL CITY INTERNATIONAL SCHOOL,830515,KARNATAKA,BANGALORE,CHENNAI,"#135, 5TH MAIN, 6TH CROSS, MALLESH PALYA, NEW THIPPASANDRA POST, NEAR C.V. RAMAN NAGAR,
PRINCIPAL@GCIS.EDU.IN,PRESIDENT@GCIS.EDU.IN",560075,,25349188,,8025349199,principal@gcis.edu.in,http://www.gcis.edu.in,2010,"Jun 7, 2010",VENKATA SURESH LOLLA,1,,,,Secondary School,Provisional,"Apr 1, 2017","Mar 31, 2022",GLOBAL CITY EDUCATIONAL TRUST
ST. DOMINIC CONVENT ENGLISH MEDIUM SCHOOL VELLANI,930925,KERALA,THRISSUR,TRIVANDRUM,VELLANI [P O] IRINJALAKUDA-680701,680701,0479,9605240977,04792300300,,srjoisyop@gmail.com,,2003,"Jun 5, 2003",SRJOISYOP,1,"M.A BED,DSW",19,19,Senior Secondary,Provisional,"Apr 1, 2017","Mar 31, 2020",ST.DOMINIC CONVENT ENGLISH MEDIUM SCHOOL VELLANI
SUSHGANGA PUBLIC SCHOOL,1130626,MAHARASHTRA,YAVAT MAL,CHENNAI,"WANI-WARORA ROAD,NAIGAON",445304,,07239293293,,07239225206,sgp.principal@gmail.com,http://www.sushgangaschool.org.com,2015,"Jul 1, 2015",BINDU SAJU JOSEPH,,"MSC, B ED",12,12,Middle Class,Provisional,"Apr 1, 2016","Mar 31, 2019",SWAVALAMBI SHIKSHAN SANSTHA
THE PARAMOUNT PUBLIC SCHOOL,1730775,RAJASTHAN,JHUNJHUNU,AJMER,VPO-THATHWARI,332746,,9416417634,,,nareshkumaryadav1972@gmail.com,http://www.rgrss.com,2012,"Aug 29, 2012",NARESH KUMAR YADAV,,"M.A,B.ED",5,10,Secondary School,Provisional,"Apr 1, 2016","Mar 31, 2019",RAO GHASIRAM SHIKSHAN SANSTHA
SSR CONCEPT SCHOOL,3630127,TELANGANA,NIZAMABAD,CHENNAI,JANNEPALLY VILLAGE  NAVIPET MANDAL,503246,05497,08462287144,9837251812,08462220751,ssrconceptschool23@yahoo.in,,2011,"Jun 1, 2011",SHIVA KUMAR,1,"M.A,B.ED",5,20,Senior Secondary,Provisional,"Apr 1, 2016","Mar 31, 2019",SRI SAI SARSWATHI EDUCATIONAL SOCIETY
SHARDA SARVHITKARI SR. SEC.SCHOOL,2630002,CHANDIGARH,,PANCHKULA,SECTOR 40 D CHANDIGARH,110018,,2694114,,,sharda_sarvhitkari@yahoo.co.in,,1970,"Aug 15, 1977",B S KANWAR,0,,,,Senior Secondary,Provisional,"Apr 1, 2013","Mar 31, 2018",SARVHITKARI EDUCATION SOCIETY
SANSKAR PUBLIC SCHOOL,2132209,UTTAR PRADESH,AGRA,ALLAHABAD,"VILLAGE BAAD , POST KAKUA , GWALIOR ROAD BARAULI AHEER DISTT. AGRA",282009,,9759120755,,,sanskarschoolbaad@gmail.com,,2014,"Apr 1, 2014",PURNIMA SINGH,,"M.A. , B.ED.",10,5,Secondary School,Provisional,"Apr 1, 2016","Mar 31, 2019",SANSKAR EDUCATIONAL DEVELOPMENT TRUST
TAWANG PUBLIC SCHOOL,2230061,ARUNACHAL PRADESH,TAWANG,GUWAHATI,"LEMBERDUNG
P.O-TAWANG DIST-TAWANG(A.P)
PIN-790104",790104,05662,200323,272475,,banmansan@gmail.com,,1992,"Mar 14, 1992",HITENDRA TRIPATHI,1,M.A M.PHIL,10,22,Secondary School,Provisional,"Apr 1, 2013","Mar 31, 2018",BHOTI LANGUAGE AND LITERATURE PROMOTIONAL SOCIETY
"SARVODAYA BAL VIDYALAYA,",2756005,DELHI,,DELHI,"SHAHBAD MOHAMMAD PUR, NEW DELHI-110061",110061,011,25655251,25527721,,manoharilalmeena3@gmail.com,,1959,"Apr 1, 1991",MANOHARI LAL MEENA,1,,,,Senior Secondary,Provisional,"Apr 1, 2013","Mar 31, 2018",DELHI ADMINISTRATION
BASAVESHWARA INTERNATIONAL PUBLIC SCHOOL,830079,KARNATAKA,BAGALKOT,CHENNAI,"BAGALKOT, KARNATAKA-587101",587101,08354,233940,,,chadarallisuresh@yahoo.com,,1985,"Jun 3, 2002",C B SURESH HEDGE,2,"B.A., B.ED.(ENG.), TTC",7,30,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",SH B V V SANGH BAGALKOT
"LORD RAMA PUBLIC SCHOOL, BATHINDA",1630595,PUNJAB,BHATINDA,PANCHKULA,"LORD RAMA PUBLIC SCHOOL, BIBI WALA ROAD, BATHINDA-151001",151001,01733,2241044,01733266020,01642216121,lordramaschool@gmail.com,,2007,"Jan 13, 2007",SURAJ SETIA,1,"MA, B.ED, MBA, BE, LLB, PGDIM, PGDHRM",7,13,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",S.S.D MAHABIR DAL EDUCATION BOARD (REGD) BATHINDA (PB)
SWAMI VIVEKANAND GOVERNMENT MODEL SCHOOL,1720123,RAJASTHAN,BARMER,AJMER,"TEJA JI KA DANDA, KISHANGANJ, DISTT. BARAN, RAJASTHAN-325216",,,,,,meenamp190577@gmail.com,,,"Nov 9, 2017",MAHAVEER PRASAD MEENA,0,,,,Secondary School,,"Apr 1, 2017","Mar 31, 2019",
AL-HIRA PUBLIC SCHOOL,2132585,UTTAR PRADESH,GHAZIABAD,ALLAHABAD,"AL-HIRA PUBLIC SCHOOL, DASNA",201015,,9555576232,,,alhirapublicsclooldasna@gmail.com,,2010,"Apr 1, 2010",AMBRINA USMANI,,"M.A.,M.COM., B.ED.",2,6,Secondary School,Provisional,"Apr 1, 2017","Mar 31, 2020",ISLAMIC ACADEMY OF SOCIAL AND NATURAL SCIENCES
S. V. M. RESIDENTIAL PUBLIC SCHOOL,330275,BIHAR,PATNA,PATNA,"RAJEEV NAGAR, 
PATNA 800 024",800024,0151,2551137,2220411,,krroshan.principal@gmail.com,,1994,"Dec 10, 1994",KUMAR RAKESH ROSHAN,1,"M. A., B. ED.",10,12,Secondary School,Provisional,"Apr 1, 2013","Mar 31, 2018",SANDAL SANSTHAN
CARMEL CONVENT SENIOR SECONDARY SCHOOL,1030025,MADHYA PRADESH,NEEMUCH,AJMER,NEEMUCH C R P F ROAD MADHYA PRADESH,458441,07423,220771,220896,,sr.jaya.ctc@gmail.com,http://www.carmelneemuch.in,1981,"Jun 13, 1989",SR JAYA CTC,2,"MA, PHD",15,20,Senior Secondary,Provisional,"Apr 1, 2014","Mar 31, 2019",CATHOLIC DIOCESE OF INDORE
JAWAHAR NAVODAYA VIDYALAYA,3440011,JHARKHAND,CHATRA,PATNA,P O CHATRA CHATRA DISTT. JHARKHAND,825401,,7079294105,,,jnvchatra2@gmail.com,,1993,"Mar 31, 2012",DAVESH NARAYAN,0,,,,Senior Secondary,Provisional,"Apr 1, 2014","Mar 31, 2019",NAVODAYA VIDYALAYA SAMITI
JAWAHAR NAVODAYA VIDYALAYA,440010,GUJARAT,AMRELI,AJMER,"AT PO & TA DHANSURA, DIST. ARVALLI, GUJARAT",383310,0824,290508,7076,,jnv.dhansura@gmail.com,,1993,"Mar 31, 2011",ANSAR HASAN SHAIKH,1,,,,Senior Secondary,Provisional,"Apr 1, 2002","Mar 31, 2008",NAVODAYA VIDYALAYA SAMITI
KENDRIYA VIDYALAYA KIMIN,2200008,ARUNACHAL PRADESH,,GUWAHATI,10TH ITBP FORCE PO KIMIN DISTT PAPAMPARA ARUNACHAL PRADESH,791121,0342,2255303,,,ferozkhankvs@gmail.com,http://www.kvburdwan.net,1973,"Jun 24, 2006",FEROZ KHAN,1,MA + B. ED. + PH. ED.,8,18,Secondary School,Provisional,"Apr 1, 2008","Mar 31, 2013",KENDRIYA VIDYALAYA SANGATHAN
ST CRISPINS SR SEC SCHOOL,530393,HARYANA,GURGAON,PANCHKULA,NEW RAILWAY ROAD GURGAON HARYANA,122001,0124,2321095,01242371526,2370020,poornimalall@yahoo.com,http://www.lionspublicsch,1991,"Apr 1, 2005",POORNIMA LALL,2,"BSC.,B.ED,MBA",10,20,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",DELHI DIOCESAN TRUST ASSOCIATION
ARYAMAN PUBLIC SCHOOL,2730756,DELHI,SOUTH WEST DELHI,DELHI,"ARYAMAN PUBLIC SCHOOL, RZ-127, MAIN KHAIRA ROAD, NAJAFGARH, NEW DELHI-110043",110043,,28010529,,,madamsunil6@gmail.com,,2006,"Apr 1, 2006",SUNIL KUMARI,,"MA, B.ED",8,8,Secondary School,Provisional,"Apr 1, 2016","Mar 31, 2019",GYANWATI EDUCATIONAL SOCIETY
HOLY PUBLIC SCHOOL,2130127,UTTAR PRADESH,AGRA,ALLAHABAD,SIKANDRA ROAD AGRA UTTAR PRADESH,282302,0562,8881993152,05624030740,2520065,rtomar45@gmail.com,,1979,"Apr 5, 2005",RADHA TOMAR,1,M.A. B.ED,17,6,Senior Secondary,Provisional,"Apr 1, 2017","Mar 31, 2022",HOLY NURSERY SCHOOL SAMITI
SRI SATHYA SAI VIDYAPEETH,930014,KERALA,KOZHIKODE,TRIVANDRUM,"SRI SAILAM  KATALUR POST CALICUT, KOZHIKODE DIST. KERALA",673531,0496,2691044;602044,601611,282598,pcrao2011@gmail.com,,1976,"Apr 1, 2005",C PURNACHANDRA RAO,1,MSC - BED,,,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2020",SRI SATHYA SAI TRUST KERALA STATE
JAWAHAR NAVODAYA VIDYALAYA,1040023,MADHYA PRADESH,MORENA,AJMER,MANPUR P O JOURA DISTT MORENA MADHYA PRADESH,476221,,245375,32695,,pmsreekumar63@gmail.com,,1988,"Apr 30, 2014",SREE KUMAR P M,1,,,,Senior Secondary,Provisional,"Apr 1, 2003","Mar 31, 2008",NAVODAYA VIDYALAYA SAMITI
COLONEL S. N. MISHRA OBE MEMORIAL SCHOOL,2131470,UTTAR PRADESH,LUCKNOW,ALLAHABAD,"SOUTH CITY, F BLOCK, LUCKNOW",226012,,8176092220,,,swatitrivedi116@gmail.com,,1996,"Jul 9, 1996",SWATI TRIVEDI,0,MSC B.ED,5,30,Senior Secondary,Provisional,"Apr 1, 2015","Mar 31, 2018",SAMANVAY
SANSKAR INTERNATIONAL SCHOOL,1730363,RAJASTHAN,JODHPUR,AJMER,"BEHIND LARIYA RESORTS, PAL-CHOPASNI BYE PASS ROAD, CHOPASNI",342009,01482,2111829,01482264580,,principal@sanskar.edu.in,http://www.sanskarschool.com,2004,"Jul 5, 2004",PRABHA SHARMA,1,"B.A., M.ED",10,15,Senior Secondary,Provisional,"Apr 1, 2014","Mar 31, 2019",SARASWATI INTERNATIONAL TRUST
ST.PAUL PUBLIC SCHOOL,1930350,TAMILNADU,CUDDALORE,CHENNAI,"39/2, KUMBAKONAM MAIN ROAD, PANIKANKUPPAM,
PANRUTI, KADAMPULIYUR, CUDDALORE, TAMIL NADU-607106",607106,,242234,,,stpaulcbsepanruti@gmail.com,,2009,"Jun 1, 2009",N VENKATACHALAPATHY,0,"M.A.,M.PHIL.,B.ED.,",6,12,Secondary School,Provisional,"Apr 1, 2013","Mar 31, 2016",ANDAVAR EDUCATIONAL TRUST
KENDRIYA VIDYALAYA,3400012,JHARKHAND,,PATNA,PATRATU PO DIESEL COLONY PATRATU HAZARIBAGH DISTT JHARKHAND,829120,0342,286808,,,prinkvptigga@gmail.com,http://www.kvburdwan.net,1981,"Apr 1, 1991",SHANTI TIGGA,1,MA + B. ED. + PH. ED.,8,18,Senior Secondary,Provisional,"Apr 1, 2014","Mar 31, 2019",KENDRIYA VIDYALAYA SANGATHAN
