id,rated,turns,victory_status,winner,increment_code,opening_name
z1LTn4pe,TRUE,40,resign,black,5+8,Yusupov-Rubinstein System
7NKtCk3B,TRUE,111,mate,white,15+0,Queen's Gambit Declined: Queen's Knight Variation
TMtvbg3w,TRUE,54,mate,black,10+0,Ruy Lopez: Classical Variation
0OXPfTEt,TRUE,33,resign,white,10+0,Queen's Pawn Game: Zukertort Variation
YzMf40DM,TRUE,90,resign,black,10+0,Queen's Pawn Game: London System
q3NHAFFp,TRUE,90,resign,black,10+0,Ruy Lopez: Classical Variation |  Central Variation
Gz7Icasx,TRUE,40,mate,black,10+0,Bishop's Opening: Ponziani Gambit
3n4poRIX,TRUE,49,outoftime,white,8+0,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order
XRuQPSzH,TRUE,50,resign,black,10+0,King's Indian Attack: French Variation
XPZikam7,TRUE,59,mate,white,10+0,Queen's Pawn Game: London System
5SNh53F9,TRUE,26,outoftime,black,15+15,Nimzowitsch Defense: Mikenas Variation
ezdEKpqG,TRUE,23,mate,white,15+15,Italian Game
WyQjriEX,TRUE,118,mate,black,15+15,Alekhine Defense #2
vAOIY0jj,TRUE,66,mate,black,15+15,Sicilian Defense: Nimzowitsch Variation
gHld9WSr,TRUE,120,draw,draw,15+15,Four Knights Game: Italian Variation
dh2xQb3X,TRUE,36,mate,black,15+15,Italian Game: Two Knights Defense |  Fried Liver Attack
TKwuIzb6,TRUE,26,mate,black,15+15,Italian Game: Anti-Fried Liver Defense
s752sCLr,TRUE,62,resign,black,15+15,Italian Game: Two Knights Defense |  Fried Liver Attack
lKYmVLZt,TRUE,37,resign,white,15+15,Alekhine Defense: Maroczy Variation
dRhehsEy,TRUE,24,resign,black,15+15,Queen's Gambit Refused: Marshall Defense
7rbdtPwO,FALSE,47,resign,white,30+2,Italian Game: Anti-Fried Liver Defense
ahwTovI0,TRUE,37,resign,black,15+15,Alekhine Defense: Two Pawn Attack |  Lasker Variation
fgK91ojo,TRUE,24,resign,black,15+15,Caro-Kann Defense: Exchange Variation
Cmhkui8U,TRUE,9,resign,white,15+15,Queen's Pawn Game #2
TRpFAEWd,TRUE,47,mate,white,15+15,Sicilian Defense: Modern Variations |  Main Line
btHFH9xr,TRUE,85,mate,white,15+15,English Opening: King's English Variation
G9xaiPFl,TRUE,39,mate,white,15+15,Goldsmith Defense
RkMlSx4r,TRUE,58,mate,black,15+15,Nimzo-Indian Defense
Z1CTghfR,TRUE,95,mate,white,15+15,Italian Game: Two Knights Defense |  Fried Liver Attack
X4QqWp8Q,TRUE,2,resign,black,15+15,Alekhine Defense
R6dF4yRx,TRUE,97,mate,white,15+15,Queen's Gambit Refused: Marshall Defense
PLxCc87r,TRUE,12,draw,draw,15+15,Italian Game
p7a4FGwp,TRUE,30,resign,white,15+15,Four Knights Game: Italian Variation
3udM9T6k,TRUE,43,mate,white,10+0,Bogo-Indian Defense: Exchange Variation
hkMNenrh,TRUE,11,resign,white,15+15,Alekhine Defense
jrmlULM0,TRUE,72,mate,black,15+15,Alekhine Defense: Saemisch Attack
JbLparSt,TRUE,156,mate,black,15+15,King's Knight Opening
mqZFkCf3,TRUE,18,resign,black,25+0,Queen's Gambit Declined
dZn9WLT5,FALSE,77,mate,white,10+2,French Defense: Classical Variation |  Steinitz Variation
MgL176RS,TRUE,32,resign,black,30+0,Alekhine Defense: Two Pawn Attack
V16nc5AF,TRUE,35,resign,white,15+15,Vienna Game: Vienna Gambit
GT8TdRlm,TRUE,85,mate,white,15+15,Modern Defense
2P2u5f63,TRUE,50,resign,black,15+15,Scandinavian Defense: Panov Transfer
15nlkNRf,TRUE,111,resign,white,10+10,Yusupov-Rubinstein System
xwl41jna,TRUE,65,outoftime,white,7+2,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
1zRjgcqm,TRUE,73,resign,white,15+0,Benoni Defense
vfnLULoh,TRUE,125,resign,white,15+0,Sicilian Defense: Hyperaccelerated Dragon
ut6LIGPI,TRUE,76,resign,black,15+0,Italian Game: Anti-Fried Liver Defense
1KbSJtjs,TRUE,65,outoftime,white,10+0,Ruy Lopez: Berlin Defense #2
cqrATt9o,TRUE,41,mate,white,10+0,Sicilian Defense: Najdorf |  Lipnitsky Attack
deKfSOPy,TRUE,59,resign,white,10+0,French Defense: Knight Variation
vQ1psjxd,TRUE,70,resign,black,15+5,Sicilian Defense: Delayed Alapin
k1qV5HHz,TRUE,34,resign,white,25+25,Sicilian Defense: Canal-Sokolsky Attack
QQ3iIM2V,TRUE,69,outoftime,white,8+0,Amar Opening
GppFo58m,TRUE,63,resign,white,10+10,Ruy Lopez: Morphy Defense |  Classical Defense Deferred
BoDJGVyk,TRUE,107,resign,white,10+10,Sicilian Defense
tqirXAEm,TRUE,58,resign,white,30+0,Queen's Pawn
GLC4oNZR,FALSE,34,resign,black,20+5,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation
3eLsB99C,TRUE,100,outoftime,black,15+0,Sicilian Defense: Alapin Variation
M6zMVwqK,TRUE,80,resign,black,5+5,Sicilian Defense: French Variation
yrQWTJVz,TRUE,44,resign,black,15+0,French Defense: Knight Variation
aF6DiZZe,TRUE,40,outoftime,black,10+0,Paleface Attack
0dm3RaQv,TRUE,105,outoftime,white,10+0,Sicilian Defense
BxxAvvER,TRUE,50,resign,black,15+0,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation
fPPfEuu5,FALSE,144,outoftime,draw,10+0,Sicilian Defense
Hysqcekp,FALSE,81,resign,black,10+0,Caro-Kann Defense: Classical Variation |  Flohr Variation
oaKcGCrO,TRUE,69,resign,black,15+0,Ruy Lopez: Bird Variation
xMezmOBz,TRUE,77,mate,white,7+8,Sicilian Defense: Najdorf Variation |  Adams Attack
46AuHfcq,TRUE,158,mate,black,6+6,Blumenfeld Countergambit #2
A7ddojjI,TRUE,107,draw,draw,15+5,Italian Game: Two Knights Defense |  Modern Bishop's Opening
SGqoxO3v,TRUE,117,mate,white,15+0,Ruy Lopez: Morphy Defense #2
pHJ5zXyE,TRUE,44,resign,white,10+0,Ruy Lopez: Morphy Defense |  Classical Defense Deferred
WqMvA7iE,TRUE,40,resign,black,15+0,Sicilian Defense: Old Sicilian
s3v6jMaX,TRUE,59,resign,white,15+5,Caro-Kann Defense
hl3zLZmV,FALSE,110,resign,black,10+0,Queen's Gambit Refused: Marshall Defense
PHYPEO42,TRUE,30,resign,black,15+0,Scandinavian Defense: Mieses-Kotroc Variation
NgZ8xxFe,TRUE,54,resign,black,10+0,Sicilian Defense: Old Sicilian
1ZeBVc5V,TRUE,69,resign,black,10+0,Philidor Defense
OmwDxZpJ,TRUE,178,mate,black,16+0,Sicilian Defense: Alapin Variation
JewxmuG9,TRUE,136,resign,black,15+0,Sicilian Defense
0gTDO6Av,FALSE,124,mate,black,8+0,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
t7vvcwqO,TRUE,96,resign,black,10+4,Hungarian Opening
igSDFKv0,TRUE,53,outoftime,white,12+0,Queen's Pawn Game #3
facMwkUo,TRUE,39,mate,white,10+0,Van't Kruijs Opening
j5KY62yS,TRUE,10,mate,black,10+0,French Defense: Normal Variation
nyYULwUl,TRUE,51,mate,white,10+0,Center Game: Berger Variation
h0YsGMhj,TRUE,18,resign,black,15+0,Italian Game: Giuoco Piano |  Greco's Attack
o4T7dj5h,FALSE,106,mate,black,30+0,Four Knights Game: Italian Variation
VgNt0SSX,FALSE,38,mate,black,15+15,Philidor Defense #3
UvqLtnPM,TRUE,59,mate,white,7+2,Ruy Lopez: Exchange Variation
1b0kpInt,TRUE,111,mate,white,7+2,Caro-Kann Defense
dJEtAQp7,TRUE,28,resign,black,7+2,Ruy Lopez: Morphy Defense |  Tarrasch Variation
ZPHBiKBY,FALSE,101,outoftime,white,7+2,Center Game: Normal Variation
I8odmGjb,FALSE,15,mate,white,7+2,Scotch Game
DijZlfMy,FALSE,42,resign,white,7+2,Philidor Defense #3
LyRqbD4d,FALSE,118,resign,black,7+2,Englund Gambit Declined |  Reversed French
CvakmVNb,FALSE,34,resign,black,7+2,Giuoco Piano
O037dETy,FALSE,60,resign,black,7+2,Sicilian Defense: Hyperaccelerated Fianchetto
CxQlHSnq,FALSE,66,resign,black,7+2,Scotch Game
Q0jogkvi,FALSE,21,outoftime,white,5+8,Philidor Defense #3
QurxyQkA,TRUE,73,mate,white,15+1,Ruy Lopez: Morphy Defense |  Caro Variation
mJ9VpdxV,TRUE,159,mate,white,15+1,Italian Game: Anti-Fried Liver Defense
edYOVb5F,FALSE,74,resign,white,15+0,Scandinavian Defense: Mieses-Kotroc Variation
GstYv2mJ,FALSE,28,mate,black,15+0,Crab Opening
dFQ5D7CS,TRUE,112,mate,black,10+0,Philidor Defense #4
2FpFvoMt,TRUE,104,resign,black,15+1,Petrov's Defense
cywOBEY5,TRUE,40,mate,black,15+1,Queen's Gambit Refused: Chigorin Defense #2
pnU8dLUx,TRUE,44,mate,black,15+1,Sicilian Defense: Jalalabad Variation
lE65efFF,TRUE,150,draw,draw,15+1,Italian Game: Anti-Fried Liver Defense
bCVL4bZl,TRUE,60,mate,black,10+0,Queen's Pawn Game: London System
WUyPeYW8,TRUE,37,mate,white,10+0,French Defense: Advance Variation |  Milner-Barry Gambit
xRY7h8aS,TRUE,88,outoftime,black,10+0,Sicilian Defense: Open #3
92UGyHOr,TRUE,113,mate,white,10+0,Ruy Lopez: Exchange Variation
UqxaqU7R,TRUE,55,mate,white,20+5,Russian Game: Damiano Variation |  Kholmov Gambit
TTzZc8gW,TRUE,135,mate,white,10+0,English Opening: Carls-Bremen System
F7oADKYb,TRUE,137,draw,draw,10+0,Italian Game
GoYkQEoS,TRUE,97,outoftime,white,10+0,Four Knights Game
DszY6Pr4,FALSE,33,resign,black,10+2,Pirc Defense #4
FhJcOzZW,FALSE,29,resign,black,30+0,Zukertort Opening: Old Indian Attack
kKFslhlg,FALSE,55,resign,black,2+10,Zukertort Opening: Sicilian Invitation
VVkKGe4E,TRUE,91,resign,white,20+10,Scandinavian Defense: Mieses-Kotroc Variation
11VaOez1,TRUE,53,resign,white,9+0,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit
2akR3Bit,TRUE,49,mate,white,10+2,Philidor Defense
mG2dEz4z,TRUE,48,mate,black,10+2,King's Pawn Game: Maroczy Defense
xrZnbIGD,TRUE,20,resign,black,10+9,Sicilian Defense: Old Sicilian
lOU3lddA,TRUE,87,mate,white,10+0,Russian Game: Damiano Variation
xYEVgk0W,TRUE,11,resign,white,10+0,Ruy Lopez: Morphy Defense |  Mackenzie Variation
QnXuc72h,TRUE,110,draw,draw,15+3,St. George Defense
ejaSwZEr,TRUE,24,resign,white,6+7,Van't Kruijs Opening
3ZfA3gFa,TRUE,23,resign,white,15+15,English Opening: King's English Variation |  Two Knights Variation
WoOqoYEL,TRUE,81,mate,white,15+30,Ruy Lopez
EgoW2NiE,FALSE,34,resign,black,20+0,Scandinavian Defense
ZctgRAt4,TRUE,103,mate,white,15+2,Philidor Defense #2
VuZ0dzhO,TRUE,29,resign,black,30+10,King's Pawn Game: McConnell Defense
1cvi4Z6K,FALSE,22,resign,black,30+15,Philidor Defense #2
E83xJFBo,FALSE,38,resign,white,10+0,Scotch Game
hVSNfLer,TRUE,46,mate,black,8+0,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
XyM6zTew,TRUE,23,outoftime,white,5+5,Ruy Lopez: Bird Variation
5sEcA5zs,TRUE,31,resign,white,10+3,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted
wXnKMk3N,FALSE,51,resign,white,10+0,King's Pawn Game: Beyer Gambit
YPVYpEvm,FALSE,87,mate,white,20+0,Ruy Lopez: Classical Variation
rth667hB,TRUE,31,mate,white,45+30,Italian Game
rb7lq7dT,TRUE,38,resign,black,15+15,Queen's Gambit Accepted: Old Variation
hxMTrlzW,FALSE,43,resign,white,10+4,Italian Game: Anti-Fried Liver Defense
hfNJtVnd,TRUE,105,resign,white,9+2,King's Indian Attack: Keres Variation #2
ijtzfFex,FALSE,87,outoftime,white,10+0,English Opening: Anglo-Scandinavian Defense
Uc64bIGE,FALSE,36,mate,black,10+0,Sicilian Defense: Marshall Counterattack
o1qwAoUy,TRUE,38,resign,black,6+6,French Defense: Advance Variation #4
voV4ekhS,TRUE,110,resign,black,8+0,French Defense: Knight Variation
VUCRbEm8,TRUE,48,resign,black,15+0,Ruy Lopez: Morphy Defense |  Caro Variation
LDLdtyDj,FALSE,95,mate,white,5+8,Nimzo-Indian Defense #2
Gr1n1AdP,FALSE,70,mate,black,5+8,Bird Opening
1TpYTEKR,FALSE,42,resign,white,10+0,Sicilian Defense: Open #3
AUzK1bj8,TRUE,177,outoftime,white,10+3,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line
R5SfPQiB,TRUE,114,mate,black,10+2,Hungarian Opening: Indian Defense
VXdhNTk5,TRUE,57,resign,white,10+2,Owen Defense
kTRSenmv,TRUE,57,resign,white,7+3,Italian Game
FE7B5vY8,FALSE,82,draw,draw,10+0,Bird Opening
PEIWrbTQ,TRUE,29,mate,white,7+3,Sicilian Defense
8hlHAFPF,TRUE,70,resign,black,10+0,Italian Game: Two Knights Defense |  Modern Bishop's Opening
BwBDbyKq,TRUE,97,mate,white,10+0,Italian Game: Anti-Fried Liver Defense
E41MaCB9,TRUE,99,resign,white,6+5,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit
UVbhSOnA,FALSE,74,resign,black,10+0,Queen's Pawn Game: Torre Attack
HYMGpINp,TRUE,48,mate,black,8+0,Queen's Pawn Game
L9UeFctE,TRUE,77,mate,white,15+0,French Defense: Marshall Variation
DbYHY9Bc,TRUE,80,resign,black,15+0,Scandinavian Defense: Icelandic-Palme Gambit
7fftvkF6,TRUE,35,resign,white,8+0,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted
IlQp1eqc,TRUE,33,resign,white,10+0,Semi-Slav Defense: Noteboom Variation
atgsbOBS,TRUE,87,mate,white,10+0,Scandinavian Defense: Mieses-Kotroc Variation
Kx4jd1Oo,TRUE,40,resign,black,10+0,Robatsch (Modern) Defense
5vg0pHEg,TRUE,54,resign,black,10+0,Queen's Gambit Declined
5uNNVd3c,TRUE,67,resign,black,10+0,Ruy Lopez: Exchange Variation |  Normal Variation
aGVLNoTY,TRUE,21,mate,white,10+0,King's Pawn Game: Damiano Defense
W4eyc9dH,TRUE,14,mate,black,10+0,Italian Game: Schilling-Kostic Gambit
l2My0J1h,FALSE,71,resign,white,15+15,Queen's Gambit Declined: Semi-Tarrasch |  San Sebastian Variation
eRHQGmr2,TRUE,72,outoftime,black,10+0,Nimzo-Indian Defense: Ragozin Variation
D45fTp2y,TRUE,62,resign,black,10+0,English Opening: Symmetrical Variation |  Anti-Benoni Variation
lTOKfWMv,TRUE,48,resign,black,10+0,Van't Kruijs Opening
sd7oPNum,TRUE,6,outoftime,black,10+2,Four Knights Game
xLmd5oZZ,TRUE,69,draw,draw,20+0,Semi-Slav Defense: Chigorin Defense
T3gAyyeH,TRUE,72,resign,white,15+15,Sicilian Defense: Quinteros Variation
HDPjH5bD,TRUE,40,mate,black,15+15,King's Pawn Game: Dresden Opening
cFSW3SMi,TRUE,29,mate,white,15+15,Modern Defense
wsNnVC6Y,TRUE,44,resign,white,15+15,English Defense #2
UxvU6EN4,TRUE,59,mate,white,10+0,French Defense: Steinitz Attack
mjXUQnww,TRUE,115,resign,white,10+0,King's Gambit Accepted |  Fischer Defense
lC84DiKq,TRUE,70,resign,black,10+0,Bird Opening: Dutch Variation
A17jdHS8,TRUE,36,resign,black,10+0,Bird Opening
t5ixT6HN,TRUE,83,resign,white,10+0,Four Knights Game: Gunsberg Variation
8uZRNw8n,TRUE,99,draw,draw,10+0,Four Knights Game: Ranken Variation
vwQzM7Sg,TRUE,43,resign,white,10+0,King's Gambit Accepted |  Schallopp Defense
I4zyNfPo,TRUE,89,resign,white,10+0,Four Knights Game: Spanish Variation |  Classical Variation
6eQ92lsE,TRUE,96,resign,black,10+0,Queen's Pawn Game: Mason Attack
8BLA0IOl,FALSE,116,mate,black,10+0,Petrov's Defense #5
pMcUNK5E,FALSE,78,mate,black,15+0,Hungarian Opening
Kzq2t2lB,FALSE,77,mate,white,15+0,Bird Opening
a0VRhASu,FALSE,70,mate,black,15+0,King's Pawn Opening: 2.b3
5gymGRgt,FALSE,27,resign,white,10+0,Russian Game: Cochrane Gambit
Vyrkyifp,FALSE,102,resign,black,10+0,Bird Opening
exEzRx87,FALSE,21,resign,white,10+0,Four Knights Game: Italian Variation |  Noa Gambit
i3YfxFdL,FALSE,33,resign,white,10+0,Bird Opening
8ctKV1wh,FALSE,74,resign,black,10+0,Russian Game: Urusov Gambit
jVXtr42v,TRUE,65,resign,white,25+5,Polish Opening
ZXM2sX4y,TRUE,81,resign,white,25+5,Sicilian Defense: Closed Variation |  Fianchetto Variation
UFKSc5hH,TRUE,45,resign,black,25+5,Indian Game: Tartakower Attack
jhA7bDVC,TRUE,52,resign,white,25+5,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted
vc2eo2Sh,TRUE,51,resign,white,10+0,Caro-Kann Defense
WgPBuJD6,TRUE,48,draw,draw,10+0,French Defense: Knight Variation
WtFUCKgj,TRUE,20,resign,black,10+0,Van't Kruijs Opening
EQDn1BA7,TRUE,50,mate,black,10+0,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
AbDhfpnX,TRUE,98,resign,black,10+0,Philidor Defense #3
Ger5Zno3,TRUE,106,mate,black,10+0,Ruy Lopez: Cozio Defense
JHH8PcNq,TRUE,19,resign,white,10+0,Italian Game
8Ie5Oesp,TRUE,22,resign,white,10+0,Italian Game: Giuoco Pianissimo |  Normal
HN5jnzyI,TRUE,114,draw,draw,10+0,Indian Game: West Indian Defense
GRAng26s,TRUE,69,resign,black,10+0,Sicilian Defense
TaaLCuw6,TRUE,34,mate,black,10+0,Italian Game: Classical Variation |  Closed Variation
R2JFua6L,TRUE,40,mate,black,10+0,Italian Game: Two Knights Defense |  Traxler Counterattack
LcPvndOa,TRUE,108,resign,black,10+0,Italian Game: Hungarian Defense
oWSctoZp,TRUE,27,resign,white,10+0,Bishop's Opening
m793jf7F,TRUE,63,resign,white,10+0,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
UaulsArt,TRUE,31,resign,white,10+0,Ponziani Opening
EL3LK94E,TRUE,71,resign,white,10+0,Italian Game: Anti-Fried Liver Defense
